what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1388933712085
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388933730096
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1388933739756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933743412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933744452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933745922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933746978
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388933750662
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388933756934
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388933765542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933786824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933790557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933791349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933792559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933792902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933827643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933830650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933901750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933967025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933968017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388933985939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388935870052
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1388935877644
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388935885264
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388935891615
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388935894205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1388935898406
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388935903396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388936638102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388936643831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388936915246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388939363015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1388939372105
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388939395237
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1388939399162
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388939413688
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388939484203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388939499146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388939517139
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388939548009
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1388939548769
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388939556064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388939560156
closed,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1388939567177
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388939567234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388939567846
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1388939567857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1388939567857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388939575072
error,log,,,"Failed to load properties file for project 'Helloworld'",1388939681991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388939683467
